No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Styling,Use Tailwind utility classes,Compose styles from atomic utilities instead of custom CSS,Use utility classes directly in JSX,Write custom CSS for every component,className="flex items-center gap-3 px-4 py-2 rounded-lg bg-slate-900 text-white",style={{ display: 'flex' }} or custom .btn class,High,https://tailwindcss.com/docs/utility-first
2,Styling,Use semantic color tokens via CSS vars,Define semantic tokens in tailwind.config and reference them everywhere,Extend theme with semantic color names,Use raw hex values inline,"colors: { primary: 'hsl(var(--primary))', surface: 'hsl(var(--surface))' }","className=""bg-[#1a2b3c]""",High,https://tailwindcss.com/docs/customizing-colors
3,Styling,Dark mode via class strategy,Use class-based dark mode for programmatic control,Configure darkMode: 'class' in tailwind.config,Use media strategy (can't toggle programmatically),"darkMode: 'class' → dark:bg-slate-900","@media (prefers-color-scheme: dark) only",High,https://tailwindcss.com/docs/dark-mode
4,Styling,Avoid arbitrary values in hot paths,Arbitrary values bypass Tailwind's design system,Use defined scale values,Sprinkle arbitrary values everywhere,"gap-4 p-6 text-sm","gap-[13px] text-[13.5px]",Medium,
5,Styling,Consistent spacing scale,Stick to Tailwind's 4pt grid (1=4px 2=8px 4=16px),Use spacing scale tokens,Mix arbitrary pixel values,"p-4 gap-6 mt-8","p-[14px] gap-[22px]",Medium,https://tailwindcss.com/docs/customizing-spacing
6,Styling,Component variants via cva,Use class-variance-authority for multi-variant components,cva() for all button/badge/input variants,Giant ternary chains for variant styles,"const btn = cva('base', { variants: { intent: { primary: '...', danger: '...' } } })","className={`btn ${variant === 'primary' ? '...' : '...'}`}",High,https://cva.style/docs
7,Styling,cn() for conditional classes,Use clsx + tailwind-merge via cn() to merge classes safely,cn(base conditionalClass),String template literals for conditionals,"cn('px-4', isActive && 'bg-blue-500', className)","className={`px-4 ${isActive ? 'bg-blue-500' : ''} ${className}`}",High,
8,Theming,HSL CSS variables for theme,Define colors as HSL channels for opacity modifier support,--primary: 220 90% 56% (no hsl() wrapper),Include hsl() in the variable value,"--primary: 220 90% 56%; → bg-primary/80 works","--primary: hsl(220, 90%, 56%) → bg-primary/80 breaks",Critical,https://tailwindcss.com/docs/background-color#changing-the-opacity
9,Theming,shadcn/ui token conventions,Follow shadcn/ui naming for drop-in component compatibility,Use standard tokens: background foreground card muted,Rename tokens incompatibly with shadcn,"--background --foreground --card --muted --border --ring","--bg --text --surface",Medium,https://ui.shadcn.com/docs/theming
10,Layout,Mobile-first responsive,Write base styles for mobile then add md: lg: xl: overrides,Start all layouts at mobile width,Write desktop layout then override down,"grid-cols-1 md:grid-cols-2 lg:grid-cols-3","lg:grid-cols-3 (no mobile base)",High,https://tailwindcss.com/docs/responsive-design
11,Layout,Container max-width,Cap content width on wide screens,"max-w-7xl mx-auto px-4 sm:px-6 lg:px-8","Full-bleed content on ultrawide monitors","<div className=""max-w-7xl mx-auto px-4 sm:px-6 lg:px-8"">","<div className=""w-full"">",Medium,
12,Layout,CSS Grid for dashboard layouts,Use grid for 2D layouts with named areas,grid + grid-cols for dashboard shells,Nest flexbox deeply for 2D layouts,"grid grid-cols-[240px_1fr] grid-rows-[64px_1fr] min-h-screen","<div className=""flex""><div className=""flex flex-col"">...",High,
13,Layout,Sidebar + main shell pattern,Sidebar fixed width with flex-1 main content area,Sidebar as fixed-width grid column,Absolute-position sidebar,"grid-cols-[var(--sidebar-width)_1fr]","position: fixed; left: 0; sidebar",High,
14,Layout,Sticky header with content offset,Use sticky positioning for headers; reserve space with padding-top,sticky top-0 z-10 on header; pt-16 on main,Fixed position without content offset,"<header className=""sticky top-0 z-10 h-16""> <main className=""pt-16"">","<header className=""fixed top-0""> (no pt on main)",Medium,
15,Components,Functional components only,React 19 is fully hooks-based; no class components,Functional components + hooks,Class components,"const VendorCard = ({ vendor }: Props) => { ... }","class VendorCard extends React.Component",Medium,
16,Components,Strict TypeScript props,Type all component props with interfaces,Interface or type for every component,PropTypes or any,"interface CardProps { vendor: Vendor; onSelect: (id: string) => void }","const Card = (props: any) => ...",High,
17,Components,Colocate component files,Each non-trivial component gets its own file,One component per file with types co-located,Barrel everything in one components.tsx,"VendorCard/index.tsx types.ts","components.tsx with 20 components",Low,
18,Components,Radix UI for accessible primitives,Use Radix UI (via shadcn) for dialogs/dropdowns/tooltips,Radix/shadcn primitives for interactive overlays,Roll custom modal with div + useState,"<Dialog> <DropdownMenu> <Tooltip>","<div onClick={close}> backdrop",Critical,https://www.radix-ui.com/
19,Components,Forward refs for input wrappers,Input wrapper components need forwardRef for form lib compatibility,forwardRef on all input-wrapping components,Omit ref forwarding,"const Input = forwardRef<HTMLInputElement, InputProps>((props, ref) => ...)","const Input = (props) => <input {...props} />",Medium,
20,Forms,React Hook Form for all forms,Use RHF for form state + validation; avoids re-renders per keystroke,useForm() from react-hook-form,Controlled useState per field,"const { register, handleSubmit, formState } = useForm<FormData>()",useState for every input field,High,https://react-hook-form.com/
21,Forms,Zod schemas for validation,Pair RHF with Zod resolver for type-safe runtime validation,zodResolver(schema) in useForm,Manual validation functions,"const schema = z.object({ email: z.string().email() }); useForm({ resolver: zodResolver(schema) })","validate: (v) => v.includes('@') || 'Invalid'",High,https://zod.dev/
22,Forms,Error messages below fields,Show validation errors immediately below each field after blur,{errors.field?.message} below input,Toast-only errors or errors at page top,"<p className=""text-sm text-destructive mt-1"">{errors.email?.message}</p>","toast.error(errors.email.message)",High,
23,Forms,Disabled submit during loading,Prevent double-submit by disabling button during async operations,disabled + loading spinner on submit button,Allow multiple submits,"<Button disabled={isSubmitting}>{isSubmitting ? <Loader2 /> : 'Save'}</Button>","<Button onClick={handleSubmit}>Save</Button>",High,
24,Data Fetching,TanStack Query for server state,Use TanStack Query for all API data; handles caching deduplication loading,useQuery/useMutation for API calls,useEffect + fetch + useState,"const { data, isLoading } = useQuery({ queryKey: ['vendors'], queryFn: fetchVendors })",useEffect(() => { fetch(...).then(setVendors) } []),High,https://tanstack.com/query
25,Data Fetching,Axios instance with interceptors,Use configured Axios instance (not fetch) for auth headers + error handling,Single api.ts instance with JWT interceptor,axios() calls scattered with repeated config,"api.interceptors.request.use(cfg => { cfg.headers.Authorization = `Bearer ${token}`; return cfg })",axios.get(url { headers: { Authorization: ... } }),High,
26,Data Fetching,Optimistic updates for mutations,Update UI immediately before server confirms for perceived performance,onMutate in useMutation for optimistic update,Wait for refetch after every mutation,"onMutate: async (newData) => { queryClient.setQueryData(['vendors'] prev => ...) }","onSuccess: () => queryClient.invalidateQueries(['vendors'])",Medium,https://tanstack.com/query/latest/docs/framework/react/guides/optimistic-updates
27,Charts,Recharts ResponsiveContainer,Always wrap charts in ResponsiveContainer for fluid width,ResponsiveContainer width=100% with fixed height,Fixed pixel width on chart,<ResponsiveContainer width="100%" height={300}>,<LineChart width={600} height={300}>,Critical,https://recharts.org/en-US/api/ResponsiveContainer
28,Charts,Custom tooltips for branded UI,Override default tooltip with custom component to match design system,contentStyle or custom content prop,Raw default tooltip styling,"<Tooltip content={<CustomTooltip />} /> where CustomTooltip uses design tokens",Default Recharts tooltip with clashing styles,Medium,https://recharts.org/en-US/api/Tooltip
29,Charts,Accessible chart colors,Use colorblind-safe palettes; never rely on color alone for data meaning,Add shape/pattern differentiation or direct labels,Red/green only for pass/fail data,"stroke='hsl(var(--chart-1))' + custom dot shape per series","stroke='#ff0000' stroke='#00ff00'",High,
30,Charts,Skeleton while loading,Show skeleton placeholder during chart data fetch; never blank axes,Skeleton matching chart height; shimmer animation,Render empty axis frame while loading,"isLoading ? <Skeleton className=""h-[300px]"" /> : <ResponsiveContainer>...","isLoading ? null : <LineChart>",High,
31,Charts,Limit data points rendered,Cap rendered points; aggregate for dense time series,Aggregate or sample beyond 200 points; provide drill-down,Render thousands of SVG elements,"data.length > 200 ? aggregateToWeekly(data) : data","<LineChart data={allTimeData} /> with 5000 points",High,
32,Navigation,React Router v6 data router,Use createBrowserRouter with loader/action for co-located data fetching,createBrowserRouter with route loaders,useEffect fetch inside components for route data,"createBrowserRouter([{ path: '/vendors', loader: vendorsLoader, element: <Dashboard /> }])",useEffect(() => fetchVendors() []) in component,Medium,https://reactrouter.com/en/main/routers/create-browser-router
33,Navigation,Protected route wrapper,Wrap auth-required routes in a component that redirects to login,ProtectedRoute component that checks auth and redirects,Check auth in every page component,"<Route element={<ProtectedRoute />}><Route path=""/dashboard"" element={<Dashboard />} /></Route>","if (!auth) navigate('/login') in every component",High,
34,Navigation,useNavigate not window.location,Always use React Router's navigate for SPA navigation,useNavigate() hook,window.location.href for internal navigation,"const navigate = useNavigate(); navigate('/dashboard')","window.location.href = '/dashboard'",Medium,
35,Performance,Code-split routes with lazy,Lazy-load route-level components to reduce initial bundle,React.lazy + Suspense per route,Import all pages at app root,"const Dashboard = lazy(() => import('./pages/Dashboard'))","import Dashboard from './pages/Dashboard'",High,https://react.dev/reference/react/lazy
36,Performance,Memo for expensive list items,Memoize list item components rendered in loops,React.memo on list item components,Inline component in map without memo,"const VendorRow = memo(({ vendor }) => <tr>...</tr>)","vendors.map(v => <tr key={v.id}>...</tr>)",Medium,
37,Performance,useMemo for derived data,Cache derived data (sorted lists filtered arrays computed scores),useMemo with correct dependencies,Compute in render body on every pass,"const sorted = useMemo(() => vendors.sort(...) [vendors filter])","const sorted = [...vendors].sort(...)",Medium,
38,Performance,Virtualize long lists,Render only visible rows for lists exceeding 50 items,@tanstack/react-virtual for list virtualization,Map all items into DOM regardless of list length,"useVirtualizer({ count: vendors.length, estimateSize: () => 56 })","vendors.map(v => <VendorRow key={v.id} vendor={v} />)",High,https://tanstack.com/virtual
39,Performance,Vite bundle analysis,Audit bundle periodically with rollup-plugin-visualizer,vite-bundle-visualizer to identify bloat,Ship unknown bundle sizes,"npx vite-bundle-visualizer → identify heavy imports","Assume bundle is fine",Medium,https://github.com/btd/rollup-plugin-visualizer
40,Accessibility,Semantic HTML elements,Use native elements for their built-in accessibility semantics,nav main aside article section h1-h6,div/span for everything,"<nav> <main> <h1> <button type=""button"">","<div role=""nav""> <div class=""heading"">",Critical,https://developer.mozilla.org/en-US/docs/Learn/Accessibility/HTML
